run_set,traj_ver,,run_idx,gpu,wallclock_s,,,,
m3gnet-0-strcs-100,trajectories_ver2,Tl2SeO4,0,L40S,1471.093011,,,,
m3gnet-0-strcs-100,trajectories_ver2,K3NbO8,2,V100,1426.111383,,,,
m3gnet-0-strcs-100,trajectories_ver2,Nb3RhSe6,3,V100L,1955.796055,,,,
m3gnet-0-strcs-100,trajectories_ver2,Sc2Te3,4,L40S,922.7533322,,,,
m3gnet-0-strcs-100,trajectories_ver2,UF5,5,L40S,896.7221179,,,,
m3gnet-0-strcs-100,trajectories_ver2,Cs2Sb,6,V100,1414.777662,,,,
m3gnet-0-strcs-100,trajectories_ver2,Ho2TeO13,7,V100,2344.824807,,,,
m3gnet-0-strcs-100,trajectories_ver2,ScMnGe2,8,V100,2254.632499,,,,
m3gnet-0-strcs-100,trajectories_ver2,EuIn4,9,V100,648.8052711,,,,
m3gnet-0-strcs-100,trajectories_ver3,Tl2SeO4,0,V100L,1735.810883,,,,
m3gnet-0-strcs-100,trajectories_ver3,K3NbO8,2,V100,1662.572943,,,,
m3gnet-0-strcs-100,trajectories_ver3,Nb3RhSe6,3,V100,1773.198504,,,,
m3gnet-0-strcs-100,trajectories_ver3,Sc2Te3,4,V100,1566.392756,,,,
m3gnet-0-strcs-100,trajectories_ver3,UF5,5,V100L,1346.288873,,,,
m3gnet-0-strcs-100,trajectories_ver3,Cs2Sb,6,V100,1405.627901,,,,
m3gnet-0-strcs-100,trajectories_ver3,Ho2TeO13,7,V100,2332.499116,,,,
m3gnet-0-strcs-100,trajectories_ver3,ScMnGe2,8,V100,2256.030159,,,,
m3gnet-0-strcs-100,trajectories_ver3,EuIn4,9,V100,645.9400615,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
